idx,conversation,class
0,"악 좋아 삶은 쓰레기도 먹고 하자
삶은 쓰레기도 돈 주고 사야 해
돈을 벌려면 취업을 해야 하고 취업을 하면 시간이 없어서 여행을 못 가
돈을 많이 벌어 놓고 경제적 자유를 이루자
맞아 안정적인 경제적 환경을 갖는 게 내 꿈잉야
배당금으로만 한 300벌면 굳이 일 안 해도 되잖아
키키 그럼 주식에 투자를 해야 하나
그래서 돈 많이 모으면 고배당주에 많이 투자를 할려고
하이 리스크... 그게 너무 무서워
하지만 그 돈들을 모을려면 취업을 해야지
하 결국은 취업의 굴레에서 벗어나지 못하는구만
취업을 해서 열심히 주식에 돈을 가져다 바치는 거야
키키 그러다 다 잃으면 어떡해 ㅠ
나랑 같이 주식으로 20억만 모으고 경제적 자유를 이루자 자기야
키키 그렇다면 너무 행복할 것 같긴 하다
잃을 것을 걱정하면 안돼
어차피 경제는 성장하게 돼있어 꾸준히",일상 대화
1,"어제 저녁 늦은 시간에 매운 거 먹어서 그런가 배 아프다 ㅠㅠ
뭐 먹고 잤는데 배가 아파 키키
늦은 시간에는 그냥 자는 게 최고야 다음부터는 늦게 먹지 마
계속 버티다가 도저히 못 버티겠어서 불닭이랑 스파게티 섞어 먹었음
오~ 불파게티 맛있긴 하지 키키
그 저녁에 라면 2개나 먹었네 키키
그러게나 말이다 키키
먹더라도 부담 덜 되는거로 먹었어야 했는데
그러다가 속 다 망가진다 키키
먹고 바로 누웠을 꺼 아니야 조금이라도 소화 시키고 자
바로는 아니고 축구 좀 보다가 눕긴 했는데 키키
거의 바로 누운 수준이랑 비슷할 듯 키키
맞아 키키 양심상 바로는 아니고 한 5분 정도 키키
자기 전에 먹는 야식이 진짜 맛있긴 한데 몸에 안 좋아 키키
그걸 알면서도 못 참고 먹게된다...
이겨내는 게 쉽지 않긴 하지... 그래도 몸 생각해야지
맞아 키키 먹더라도 메뉴를 부담 덜 가는 거로 바꿔야 할 듯
그나마 부담 덜 되는 삶은 계란이나 닭가슴살 어때
그게 그나마 괜찮긴 하겠다... 맛은 그냥 그렇지만
어쩔 수 없지 키키
그래도 양념 조금해서 먹으면 괜찮아",일상 대화
2,"이번에 뉴스에 나온 사슴이 너무 불쌍해...
엥 사슴이 뉴스에 나왔다고?
응 키키 뉴스에 사슴 나오는 거 처음 듣지?
웅 동물은 첨이야 키키
왜 나왔댜
사슴이 목에 타이어를 매달고 있었어...
엥 사슴 목에 타이어가? 왜?
그니까 ㅠㅠ
타이어에 머리 넣었다가 못 뺐다더라
헐 ㅠㅠ 그거 옮기는데도 엄청 힘들었겠다 ㅠㅠ
맞아 ㅠㅠ 사람들이 다가가면 도망가서 아직도 그러고 있었대
헐 ㅠㅠ 어떻게 해...
진짜 얼른 잡아서 빼줘야 할 텐데 ㅠㅠ
근데 미국 사슴은 엄청 커 우리 나라 사슴이랑 다르게 키키
아 진짜?
그래도 그거 무거워서 어떻게 해 ㅠㅠ 구해줘야지
오늘 미국 구조 협회에서 마취하고 타이어 벗겨줬어 하하
후 진짜 다행이다 ㅠㅠ
이제 잘 뛰어 다녔으면 ㅠㅠ
그치 ㅠㅠ
미국 이슈에 있길래 놀랐었어
그러니까 ㅠㅠ
사진만 봐도 너무 마음 아플 듯...",일상 대화
3,"얌 기념일 챙기는 편?
엉 근데 날짜 개념 없어서 모름 키키 너는
남자친구 생일 언제랭?
몰라 아직 안 물어봤어
물어봐야 되나 키키
키키 얌 내일일 수도 있잖아...;
아 그러네 그럼 카톡에 뜨자낰 키키 어이쿸 키키
생일 선물 받으려고 급하게 사귄 거 아냐?
엉 마즘 너 되게 귀신이다
나 두 달 남음
내일이면 합리적 의심 해봐야 함.
키키 내일은 아쉽게도 아니다 두 달 남아서
키키 야 두 달은 자연스러웠어 괜춘 키키
키키 개웃기네 이 정도면 노의심이지?
키키 두 달 간 잘 이어가 봐...
엉 근데 그전에 없어졌을 수도
키키 당근 두 달 전에 근데 남친 생일 있는 거 아님? 키키
키키 그럴 수도 내가 먼저 선수 쳐서 물어봐야지",일상 대화
4,"혹시 성형수술 생각해 본 적 있어요?
어릴 때는 내 몸에 칼은 절대 안 돼! 였는데...
아 정말요? 근데 요즘 정말 많이들 하던데요?
그러니까요 저도 생각이 많이 바뀌었어요
네네 남녀 상관없이 어렵지 않게 생각하는 거 같아요
필요에 따라 욕구에 따라 하는 건 자유라고 생각하게 됐어요
근데 저는 부작용이 너무 무섭던데요 ㅜㅜ
맞아요... 부작용을 감당 할 만큼의 욕구인가를 고민할 수밖에 없어요
그러니까요 ㅜㅜ 이게 확률이라 해도 나한테 생기면 100프로니까
성형 의료사고는 병원에서 나 몰라라 하는 경우가 많은 거 같더라구요
아 맞아요! ㅜㅜ 제 주변에도 있었는데... 참... 어렵더라구요
아 주변에 있으면, 공공연하게 낮은 확률이라는 게 믿기지 않죠
네.. 병원에서 문전박대하고 뭐 영업 방해로 신고한다 하고...
ㅠㅠ 정말 신중하게 고민하고 찾아보고 해야 하는 건가 봐요
그렇게 심하지는 않아서 그냥저냥 살고는 있는데 ㅜㅜ 에휴
그래도... 심하지 않을 뿐 부작용이 있다는 게 얼마나 마음 아파요",일상 대화
5,"스페인에서 해양 쓰레기 줍던 다이버들이 금 무더기 발견했대!
헐 대박 금이 바다 안에 있던 거야?
응 키키 로마시대 껄로 추정된다던데 키키 신기해
와 엄청 오래된 거네?
그럼 그건 나라 거야?
키키 스페인 대학에 기증했다던데 키키?
아항 근데 그런 거 찾으면 인생역전 이런 건 안 되는 건가? 키키
그니깐 근데 그게 역사랑 관련 있는 거 같아 키키
그래도 나라에 주긴 해도 보상금은 줘야 되는 거 아냐? ㅠㅠ
맞아 주는 게 맞지 키키 두 시간 가량 팠다던데 키키
와 대박 두 시간 키키 나는 찾아도 못 할 거 같다 키키
나도 두 시간이나 물 속에서 어우 못해 키키
그래도 산소통은 들고 가지 않았을까? 키키
그러겠지? 다이버들이니깐 가능했다 이건!
맞아 근데 스킨스쿠버 해봤는데 진짜 물속에서 움직이는 거 대단하더라구 ㅠㅠ
키키 난 하다가 성겐가 찔려서 바로 배 탔어 키키
헐 ㅠㅠ 찔린 건 괜찮지? 뭐든 조심해야 해 ㅠㅠ",일상 대화
6,"근데 자취할려면 돈 필요해 돈 벌려면 일해야 해...
맞아, 근데 알바 자리 요즘 없을걸
그니까 학생이면 파트타임으로 해야 하는데 그마저도 찾기 힘들더라 ㅠ
완전 풀알바거나 완전 쪼금밖에 안 구해 요즘은 ㅜㅜ
저런... 아산도 마찬가지지 어딜 가나 ㅠ
아산은 아예 없다고 해도 무방하지
어떡하냐 진짜 우리는 다 길거리로 나앉는 것인가...
그래서 나 쿠팡 몇 번 뛰었다 키키
아 키키 쿠팡은 할만해?
많이 힘들다던데...
난 괜찮았어 선풍기도 주고 아이스크림도 줘
쿠팡이 진짜 주휴수당 잘 쳐주고 사람 잘 뽑아주는 걸로 유명할 거야 내가 듣기론 키키
근데 요즘은 쿠팡도 사람 없어서 인센티브 팍팍 주던데
헐 그럼 나도 가고 싶다 ㅠㅠ
힘든 데는 사람이 많이 안 몰리는구나...
인센 최고 5만원까지 주더라
하루 빡세게 일해서 10만원 넘게 버는 거면 정말 괜찮은 조건 같네!
오전조 해도 10만원이야 누가 야간 해,",일상 대화
7,"요즘 맛있는 라면 뭐가 있을까?
나는 요즘 진라면이 최고인 거 같아!
진라면 혹시 순한 맛 좋아해?
나는 매운 맛!
한때는 참깨라면 먹고 국물에 밥죽 해 먹는 거에 빠져서 참깨라면 먹고 키키
참깨라면 맛있게 먹는 팁 알아?
라면을 빨리 먹고 국물을 살짝 남겨서 참기름 계란 넣고 라면 죽 자작하게 끓여서 김치에 먹으면 크으...
아 먹고 싶다
나는 라면 국물에 누룽지 넣어서 끓이는데 존맛이야 키키
헉 누룽지? 와 신세계다
다음에 라면 먹을 때 또 해 먹어야지
진짜 신박해
이거 진짜 강추 완전 꼬숩해
특히 참깨라면 키키
우와... 다음에 무조건 먹어야지
참깨라면은 진짜 그냥 라면죽 먹기 위해서 만든 라면인 거 같아 키키
그치 키키 죽처럼 끓여 먹는 게 맛있어
그냥 먹으면 금방 질려
맞아 ㅠㅠ 너무 좋다
진짜 알려 줘서 고마워 팁 키키
응응 키키 내가 라면을 자주 먹다 보니 알게 되었어!
키키 넌 무슨 라면 좋아해?
나는 주로 불닭 많이 먹는 것 같아~
나도 불닭 좋아하는데 맛있어 키키",일상 대화
8,"연상 동갑 연하 다 만나봤어?
음... 웅! 근데 연상만 길고 나머지는 거의 다 사귀는 수준도 아니였어 키키
아 진짜? 오 능력자 키키 몰랐네
키키 나는 근데 연상이 좋아...
10살 차이 나도 무적권 연상파
그럼 최대 위로 몇 살 차이까지 가능?
12살까지 가능~^^ 절 대 연 상
연하는 1살 차이만 나도 걍 애기 같어
키키 오 띠 동갑까지 가능하네? 키키
나도 연하는 노노
으으 연하 싫어 싫어
너는 몇 살까지 커버 가능?
나도 띠 동갑까지였는데 바꼈어 키키
여섯 살 차이까진 괜찮아
키키 나이를 먹어서 그런가? 키키
너엉~무 많이 나면 하하 나도 나이를 먹어서 그른가 좀 그릏드라 하하
맞아 키키 너무 차이 나면 좀 그렇더라고 키키
키키 근데 우리 나이 띠 동갑 정상인분들은 머...
다 결혼했거나 아예 비혼주의자거나 그러겠지 키키 ?
응 그렇지... 마흔을 앞두고 있는 삼십대 후반...
키키 휴, 그래도 연하는 안돼, 너무 애 같아,
내가 한 50먹으면 연하 가능
키키 연상이 최고야 듬직하고 의지 되고!
ㅇㅈㅇㅈ! 오빠가 최고!
연하 동갑 걍 지나가십쇼",일상 대화
9,"넌 최근에 무슨 영화 제일 재밌게 봤어?
와 누나 저는 지금 영화관에서 본 건 기억도 안 나고... 집에서 크루엘라? 봤어요
키키 크루엘라? 그거 무슨 내용인 영화야?
그거 101마리 강아지에 나오는 악역 아줌마가 주인공 키키
아 그래? 키키 무슨 장르야? 나 처음 듣는 영환데?
그거 디즈니 영화일 거예요 키키 장르는 모르겠네 디즈니 실사화 영화
오 나도 찾아봐야겠다 키키 넷플릭스 같은 데서 볼 수 있나?
오 그건 모르겠네요? 저희는 집에 vod를 샀어요
아아! 요즘에도 vod로 보는 경우가 있구나 그럼 dvd로 보는 거지?
오? 약간 어 머랄까 그 btv 같은 걸로 사는 거 있죠 그거...
아아아아아 나 딴 거 생각했네 키키 정액제로 보는 겨?
키키 네네 그거에서 영화를 따로 사는 거죠 키키 평생 구입했어요
오 신기하다... 키키 가성비는 괜찮은 편이야?
뭐 다 같이 보니깐 그렇다면 가성비가 괜찮은 거지 않을까요?
키키 그런 거 한번 결제해 놓으면 취소도 귀찮아서 평생 회원 되는 느낌
맞아요 키키 근데 부산 집에서는 못하고 대구 집에서만 살짝살짝 키키",일상 대화
